class	subscriber	message_body	timestamp	type
0	1	Hey sir I have a question on software I am doing that timeline for john but I am trying name the identity the guys name for a event and the next event ha	4/4/11 14:40	Incoming
0	1	s the same guys name as the first but it will not let me to name the second identity the same as the first identity is there a way around that or some	4/4/11 14:40	Incoming
0	1	thing that I have to do to allow me to do it	4/4/11 14:40	Incoming
0	1	"The identity field must be unique, but you can use label instead"	4/4/11 14:41	Outgoing
0	1	Ok thank u sir	4/4/11 14:42	Incoming
0	1	Go to item properties and select label	4/4/11 14:42	Outgoing
0	1	Ok kewl	4/4/11 14:42	Outgoing
0	1	Is there a way to copy the entire event and paste it for the next?	4/4/11 14:43	Incoming
0	1	"Should be able to copy an paste anything on the chart, yes"	4/4/11 14:44	Outgoing
0	1	Hmmm it will not allow me to I right click on the event hit copy and right click else where on the timeline and hit paste it just rehighlights the event 	4/4/11 14:48	Incoming
0	1	I was trying to duplicate	4/4/11 14:48	Incoming
0	1	I think it duplicates in that exact physical location 	4/4/11 14:49	Outgoing
0	1	See if it is stacked on other one	4/4/11 14:49	Outgoing
0	1	I tried to click on the top one and change the date and time but if it is stacking it moves the entire stack to that location then	4/4/11 14:50	Incoming
0	1	Hmm guess u may have to recreate it then	4/4/11 14:50	Outgoing
0	1	Wait I remember how	4/4/11 14:51	Outgoing
0	1	Ok not a problem just checking	4/4/11 14:51	Incoming
0	1	"U copy it to a new chart, change the identity, then copy it back into your chart"	4/4/11 14:52	Outgoing
0	1	Ok I'll give that a shot thank u	4/4/11 14:52	Incoming
0	1	Yup	4/4/11 14:53	Outgoing
0	1	Yep that worked if the time increments are to close and it stacks the events on top of each other how do u spread them out?	4/4/11 14:56	Incoming
0	1	Got it you have to drag with the arrow not the hand	4/4/11 15:00	Incoming
0	1	Yes or unpinned them	4/4/11 15:10	Outgoing
0	1	Question when there are two people arguing would you show two different event bubbles and link them together with the description of the event	4/4/11 15:12	Incoming
0	1	An argument is one event with two or more involved (linked) subjects	4/4/11 15:17	Outgoing
1	1	"Last dance with mary jane tonight, u in? Gotta pass a piss test in a couple months so this be it for while"	4/4/11 15:21	Incoming
0	1	People should not be events	4/4/11 15:28	Outgoing
0	1	He should be entered as a regular entity 	4/4/11 15:28	Outgoing
0	1	So when it shows me the male figure or female figure I shouldnt use that? What should I use?	4/4/11 15:30	Incoming
0	1	"Yes, but if u look at tabs the male and female can be events or other entity types"	4/4/11 15:36	Outgoing
0	1	There are tabs above the icons	4/4/11 15:37	Outgoing
0	1	Ok so can I make the main person the event and then just add the associate under it almost like it is now but change the event below to a associate?	4/4/11 15:38	Incoming
0	1	No I would only make incidents events	4/4/11 15:39	Outgoing
0	1	Make people standard entities and link them to events	4/4/11 15:39	Outgoing
0	1	Regular entities don't appear in squares 	4/4/11 15:41	Outgoing
0	1	U only see the icon	4/4/11 15:41	Outgoing
0	1	Because people will be linked to multiple events	4/4/11 15:41	Outgoing
0	1	Ok so I shouldn't make the events with people how should I represent the event title and photo? Do u have a example that I can look off of to get an idea?	4/4/11 15:42	Incoming
0	1	Ok	4/4/11 15:42	Incoming
0	1	Or u can make him a timeline if he is linked to all the events	4/4/11 15:42	Outgoing
0	1	Ok so I should just make one associate and link then to all the different events	4/4/11 15:42	Incoming
0	1	Hang on	4/4/11 15:42	Outgoing
0	1	Not quite all of them	4/4/11 15:43	Incoming
0	1	Ok	4/4/11 15:43	Incoming
0	1	Ok	4/4/11 15:44	Incoming
0	1	Do u have a account that I can use?	4/4/11 15:44	Incoming
0	1	Ok	4/4/11 15:44	Incoming
0	1	Click add computer	4/4/11 15:45	Outgoing
0	1	Install software	4/4/11 15:45	Outgoing
0	1	Tell me when ready	4/4/11 15:47	Outgoing
0	1	Almost	4/4/11 15:47	Incoming
0	1	Alright	4/4/11 15:48	Incoming
0	1	It says no remote users are connected	4/4/11 15:49	Incoming
